cohort,cores,arm,cases,core_abs_pct,core_signed_pct,mae_L,drift_L,abs_drift_L,p99_L,p999_L,worst_core_pct,makespan_abs_pct,oracle_coverage,model_coverage,min_oracle_pairing,paired_reads_total
validation,4,deepseek_single_core,8,6.935172531099031,3.739408161408779,0.6140589013467965,0.09265705847424115,0.14702849164176812,3.5201042595797265,6.338896989169292,15.276668303948128,11.383737773485858,0.8822541595906187,0.8883063262681028,0.7982557260971871,11508811
validation,4,deepseek_multicore,8,6.766009703798004,2.5116374555596352,0.5994704154160965,0.06631156470169046,0.13671635016433753,3.531720895738351,6.353347930225089,14.414461020197802,11.128999957524023,0.8828749258835197,0.8885268549802922,0.7986198360785499,11516490
validation,8,fixedlat,8,20.707792255544497,-20.707792255544497,0.6310883974357157,-0.40845570943153786,0.40845570943153786,3.2632767772104767,5.664045246447865,36.23008478619086,32.65093536895416,0.9164517788921444,0.9222731213790678,0.8766753094160777,21897389
validation,8,md1,8,11.30208668210092,-10.914852190065103,0.6634121101680102,-0.26068279036368247,0.26068279036368247,3.240548782022182,5.611990698346979,22.364993791025817,18.010247474261433,0.8891119875175265,0.8884498632463503,0.860759345220887,21069190
validation,8,wmg1,8,18.566072788604266,-18.566072788604266,0.6238647846680365,-0.38061915733261753,0.38061915733261753,3.2607029959410543,5.657472236615265,33.21776763895743,29.47956208805073,0.8955100727756611,0.9001263800799795,0.8694882701508809,21281771
validation,8,mess,8,7.007344462460123,1.2069818473786014,0.6271232140946479,-0.05635391604057982,0.06733794967625487,2.948849720992439,5.347868338374259,16.177829674131353,8.512128595308935,0.8967679749885963,0.884718467472693,0.8626731177282372,21230943
validation,8,astra_single_core,8,6.049786261881103,-4.469857372628488,0.6486530318843841,-0.07206586291363914,0.0870479332945017,2.995359519844706,5.3333758502790545,11.580365438023907,10.248158040471937,0.9174003467538535,0.9267955109031585,0.8737537211837743,21896575
validation,8,astra_multicore,8,4.143151766462202,-1.817824792447893,0.6621580220515286,-0.04999497497544794,0.060208946540177305,2.9925939890715085,5.323526724046636,9.493906964703989,7.3636313596303875,0.9209910297421731,0.9259819779140441,0.876117767346224,21990231
validation,8,deepseek_single_core,8,8.8663656579543,8.391823792358934,0.7235593435272173,0.09470475947193248,0.10352509456776926,2.8646396357618578,5.160278877778586,20.127306203865317,10.3245566285895,0.8848020279671518,0.8905201969663058,0.8603982457767183,20952619
validation,8,deepseek_multicore,8,4.9781221518901635,0.4181599020630149,0.6730112418562725,-0.03655664591166276,0.09755719775795707,2.944243981988187,5.288542518957327,11.307522669006719,5.972058378547169,0.8853123130194483,0.8913701979748028,0.8604890661051988,20963264
training,8,fixedlat,8,20.320483570033808,-20.320483570033808,0.6337554630395723,-0.3117989274313957,0.3117989274313957,3.1150839728430464,4.825735911941567,35.898768879284496,21.486054032585614,0.9441759902373458,0.9373066217460364,0.9295777206333563,20478341
training,8,md1,8,12.830578225470237,-12.70621885413724,0.6635699276826569,-0.26510933817874716,0.26510933817874716,3.1996005469181545,4.955184389593867,29.134764779903996,10.360118900687668,0.9397623110795514,0.9274953590669999,0.9272364213559257,20390209
training,8,wmg1,8,17.971455366664518,-17.865519546926308,0.6364174974960035,-0.31255492680929386,0.31255492680929386,3.1627177808042686,4.893481104834933,33.904519762674475,17.47804170041603,0.9387234501177992,0.9296162478465474,0.9213128107338041,20383329
training,8,mess,8,8.246741080710876,-3.249443277315067,0.6033338272242805,-0.10998759156747753,0.10998759156747753,3.003296745839476,4.724808591960484,23.109444866688712,6.5485866265333765,0.9406313545976508,0.9263004350019773,0.9276733714115105,20404755
training,8,astra_single_core,8,7.212923647754682,-6.309989753254126,0.6345656025016828,-0.06010565733825503,0.07674189739495671,2.8551723777345677,4.5476599415115135,12.412637518109074,5.419092710494835,0.9444770787122977,0.9441426716437268,0.9291850270459865,20475012
training,8,astra_multicore,8,4.421562508082489,-1.3986286893141322,0.6489569736013125,0.007714913656636986,0.021130963977266694,2.8002686444398703,4.513116180486554,8.810848880553742,4.225017487730862,0.9456493084770268,0.9421359334483669,0.9282401184223824,20494411
training,8,deepseek_single_core,8,11.718794089492874,11.445686279510554,0.7192594007308875,0.18882852590469254,0.18882852590469254,2.6913208133260897,4.327772115732703,30.473973566424114,18.67572438978854,0.935464962922371,0.9323336568479945,0.9230252498649829,20301149
training,8,deepseek_multicore,8,6.064227136130183,-2.195784747213903,0.6601818643243025,-0.018555388061624628,0.054162189113173165,2.797920886240622,4.5290363574063495,18.962880163547183,3.517909102998491,0.935256295456651,0.9330751387455364,0.9227518819050413,20295787
