case,arm,mode,ending,core_abs_pct,signed_pct,instructions,oracle_instructions,cycles,ipc,dram_reads,verification,low_traffic,roi_seconds,total_hours,peak_rss_gib
gapbs-c1-sssp,deepseek_multicore,FS,roi_end,0.021015622676870623,0.021015622676870623,584875213,584875021,2171793363,0.2693051848137543,27529818,numerical_verification,False,3301.126800274,3.163710319267379,3.132152557373047
npb-c1-is.B.x,astra_single_core,FS,instruction_cap,0.01573400743946223,0.01573400743946223,2000000004,2000000004,4443743873,0.4500709449417001,21469863,unavailable: instruction-capped interval,False,7580.956743882,2.108815252052413,3.1285476684570312
gapbs-c1-bfs,md1,FS,roi_end,19.58030616197712,-19.58030616197712,66958614,66989163,79463527,0.8426333001805973,1513696,numerical_verification,False,290.54980110400015,0.777984670665529,3.1249847412109375
parsec-c1-streamcluster,deepseek_single_core,FS,instruction_cap,0.04712524131433847,0.04712524131433847,2000000003,2000000001,1818610708,1.0997405845033659,35433186,unavailable: instruction-capped interval,False,5725.644852736999,1.5933956327703265,3.2400665283203125
parsec-c1-blackscholes,deepseek_multicore,FS,instruction_cap,0.08133514382908326,0.08133514382908326,2000000001,2000000003,690533536,2.896311180750532,2647767,unavailable: instruction-capped interval,False,4947.034309492001,1.377067391210132,3.240264892578125
polybench421_bicg_large,deepseek_single_core,SE,roi_end,0.02249151680540184,0.02249151680540184,41908495,41908495,17343771,2.416342731923755,476553,array dump retained; compare oracle/FixedLat at printed precision,False,123.99665357599997,0.07853475491205851,0.1414947509765625
polybench421_trisolv_large,deepseek_multicore,SE,roi_end,0.007676313920491087,0.007676313920491087,14022009,14022009,9718952,1.4427490741800144,229207,array dump retained; compare oracle/FixedLat at printed precision,False,34.864104638000015,0.022388010753525627,0.14260101318359375
npb-c1-mg.B.x,wmg1,FS,instruction_cap,19.753738653289545,-19.753738653289545,2000000000,2000000003,1011012445,1.9782150159388,56957296,unavailable: instruction-capped interval,False,6564.7076753050005,1.8268555482228597,3.150909423828125
polybench421_gesummv_large,mess,SE,roi_end,4.30678049976182,-4.30678049976182,16609512,16609512,6621144,2.5085562253290368,377487,array dump retained; compare oracle/FixedLat at printed precision,False,50.12005094900002,0.0448221410645379,0.14260101318359375
polybench421_mvt_large,md1,SE,roi_end,12.495576730970223,-12.495576730970223,58030014,58030014,24394603,2.3788054267577134,965698,array dump retained; compare oracle/FixedLat at printed precision,False,149.57225954,0.08351392050584157,0.14260101318359375
parsec-c1-streamcluster,astra_multicore,FS,instruction_cap,0.0017752126225861705,0.0017752126225861705,2000000002,2000000001,1817786356,1.100239307770445,35433680,unavailable: instruction-capped interval,False,5740.388762703,1.597581596242057,3.2398109436035156
npb-c1-mg.B.x,deepseek_multicore,FS,instruction_cap,0.4266158612329898,-0.4266158612329898,2000000002,2000000003,1254512408,1.5942448948659582,56943516,unavailable: instruction-capped interval,False,6704.524115646,1.8657618627945582,3.1518211364746094
npb-c1-mg.B.x,deepseek_single_core,FS,instruction_cap,3.785195270408344,3.785195270408344,2000000000,2000000003,1307576481,1.5295472418335734,56946342,unavailable: instruction-capped interval,False,6789.339873821,1.8893800109624863,3.152416229248047
gapbs-c1-pr,astra_single_core,FS,roi_end,0.0021969899980268707,0.0021969899980268707,1492383349,1492383349,13307544566,0.11214565854717874,147437455,numerical_verification,False,14067.324913996,4.802214470174578,3.1332740783691406
parsec-c1-blackscholes,astra_multicore,FS,instruction_cap,0.16660479317239188,0.16660479317239188,2000000001,2000000003,691121873,2.893845614115009,2647733,unavailable: instruction-capped interval,False,4939.689722196,1.3750074764092763,3.2396392822265625
polybench421_mvt_large,astra_multicore,SE,roi_end,0.16770489362327187,-0.16770489362327187,58030014,58030014,27831384,2.0850567115167538,965701,array dump retained; compare oracle/FixedLat at printed precision,False,151.70717011200003,0.08481852405601077,0.142578125
parsec-c1-blackscholes,fixedlat,FS,instruction_cap,0.026484829581851096,-0.026484829581851096,2000000001,2000000003,689789608,2.8994348099833944,2647622,unavailable: instruction-capped interval,False,4978.647195104,1.3858693716261121,3.239521026611328
polybench421_gemver_large,mess,SE,roi_end,12.45304735443019,-12.45304735443019,88101036,88101036,44276311,1.989800731140406,1456062,array dump retained; compare oracle/FixedLat at printed precision,False,239.61401859100005,0.10650568379296196,0.142578125
polybench421_atax_large,astra_multicore,SE,roi_end,0.020223848367511725,0.020223848367511725,41931771,41931771,19238607,2.179563780267459,476230,array dump retained; compare oracle/FixedLat at printed precision,False,117.545465734,0.06921057356728448,0.1425933837890625
polybench421_gemver_large,fixedlat,SE,roi_end,30.010088115796226,-30.010088115796226,88101036,88101036,35396950,2.4889442734472884,1456064,array dump retained; compare oracle/FixedLat at printed precision,False,226.84997013999998,0.10297242416275872,0.142578125
parsec-c1-canneal,mess,FS,roi_end,1.4762287757428387,1.4762287757428387,1774998909,1774917366,8078539318,0.21971780282669165,35964325,roi_and_process_completion,False,9915.426051397,3.6087942839331095,3.2398109436035156
polybench421_mvt_large,deepseek_multicore,SE,roi_end,0.10033310332035458,0.10033310332035458,58030014,58030014,27906108,2.0794735690122033,965700,array dump retained; compare oracle/FixedLat at printed precision,False,151.32431648800008,0.08458036541938782,0.142578125
npb-c1-cg.B.x,deepseek_multicore,FS,instruction_cap,0.009647271112624816,0.009647271112624816,2000000001,2000000001,12212247738,0.16377001547198713,52050626,unavailable: instruction-capped interval,False,13368.984992461,3.7186500903632904,3.13055419921875
npb-c1-mg.B.x,astra_multicore,FS,instruction_cap,0.22300494885460337,-0.22300494885460337,2000000001,2000000003,1257077676,1.5909915824485614,56940960,unavailable: instruction-capped interval,False,6658.83655604,1.8530018384589089,3.151805877685547
npb-c1-is.B.x,fixedlat,FS,instruction_cap,0.22473763917506515,-0.22473763917506515,2000000001,2000000004,4433059610,0.45115567507561666,21470406,unavailable: instruction-capped interval,False,7508.324153576999,2.0886723306443957,3.1287460327148438
gapbs-c1-sssp,deepseek_single_core,FS,roi_end,0.017693291846999543,0.017693291846999543,584875230,584875021,2171721224,0.2693141382680524,27528814,numerical_verification,False,3309.9427284619996,3.2911540120840073,3.1328353881835938
gapbs-c1-bfs,deepseek_single_core,FS,roi_end,2.4633748121376207,-2.4633748121376207,66984080,66989163,96376943,0.6950218373288723,1516326,numerical_verification,False,301.671971191,0.7990494464503394,3.126628875732422
polybench421_bicg_large,deepseek_multicore,SE,roi_end,0.02197824885779139,0.02197824885779139,41908495,41908495,17343682,2.4163551315112906,476554,array dump retained; compare oracle/FixedLat at printed precision,False,125.130024532,0.0791031085120307,0.14260101318359375
polybench421_bicg_large,mess,SE,roi_end,3.967538166806431,-3.967538166806431,41908495,41908495,16651905,2.51673877553349,476549,array dump retained; compare oracle/FixedLat at printed precision,False,123.63208695500003,0.07815701120429569,0.14260101318359375
npb-c1-cg.B.x,md1,FS,instruction_cap,0.0854532506471272,-0.0854532506471272,2000000000,2000000001,12200634947,0.16392589473318991,52067384,unavailable: instruction-capped interval,False,13334.23762058,3.709035565190845,3.1299705505371094
npb-c1-mg.B.x,md1,FS,instruction_cap,15.5085644577982,-15.5085644577982,2000000002,2000000003,1064496855,1.878821898445158,56965331,unavailable: instruction-capped interval,False,6581.501377275,1.8315719693899155,3.150196075439453
polybench421_mvt_large,deepseek_single_core,SE,roi_end,0.09963363046820525,0.09963363046820525,58030014,58030014,27905913,2.0794880998876475,965701,array dump retained; compare oracle/FixedLat at printed precision,False,152.05234706100003,0.08471647209591336,0.14260101318359375
polybench421_bicg_large,astra_single_core,SE,roi_end,0.006395664650561702,-0.006395664650561702,41908495,41908495,17338762,2.41704078987877,476554,array dump retained; compare oracle/FixedLat at printed precision,False,124.71209140300004,0.0791510776678721,0.142578125
polybench421_atax_large,wmg1,SE,roi_end,7.24615807968477,-7.24615807968477,41931771,41931771,17840939,2.3503118866109007,476230,array dump retained; compare oracle/FixedLat at printed precision,False,115.80472202100003,0.0680500121249093,0.1425933837890625
gapbs-c1-sssp,wmg1,FS,roi_end,9.53668163436753,-9.53668163436753,584506208,584875021,1964263542,0.2975701556853515,27422523,numerical_verification,False,3204.6788252750002,3.1048926134904224,3.131153106689453
polybench421_trisolv_large,md1,SE,roi_end,8.164408122239845,-8.164408122239845,14022009,14022009,8924772,1.5711335818999073,229207,array dump retained; compare oracle/FixedLat at printed precision,False,33.65089586800002,0.02127373629146152,0.142578125
npb-c1-cg.B.x,wmg1,FS,instruction_cap,0.1103628865265515,-0.1103628865265515,2000000000,2000000001,12197593214,0.1639667731913264,52063205,unavailable: instruction-capped interval,False,13441.727517808,3.7387907051377827,3.12939453125
gapbs-c1-pr,deepseek_single_core,FS,roi_end,0.05193765694441685,0.05193765694441685,1492392559,1492383349,13314163682,0.11209059725002711,147442384,numerical_verification,False,14193.230972465,4.855720106495752,3.13336181640625
parsec-c1-canneal,deepseek_multicore,FS,roi_end,0.6226467620063432,0.6226467620063432,1774952631,1774917366,8010588346,0.22157581370241092,35966870,roi_and_process_completion,False,9938.795181096,3.599182605147362,3.2392730712890625
polybench421_gemver_large,wmg1,SE,roi_end,33.038436868009796,-33.038436868009796,88101036,88101036,33865382,2.601507226465067,1456061,array dump retained; compare oracle/FixedLat at printed precision,False,230.115054272,0.1038385546207428,0.142578125
polybench421_bicg_large,wmg1,SE,roi_end,8.044696526289036,-8.044696526289036,41908495,41908495,15944931,2.6283271467276967,476549,array dump retained; compare oracle/FixedLat at printed precision,False,124.34298673400002,0.07819865650600857,0.14260101318359375
npb-c1-is.B.x,md1,FS,instruction_cap,0.22145716359064652,-0.22145716359064652,2000000001,2000000004,4433205363,0.45114084217532785,21470458,unavailable: instruction-capped interval,False,7507.5244167109995,2.0883902111318378,3.1288986206054688
polybench421_trisolv_large,wmg1,SE,roi_end,8.548141498544073,-8.548141498544073,14022009,14022009,8887480,1.5777260820840102,229207,array dump retained; compare oracle/FixedLat at printed precision,False,34.73237451699998,0.021490224599838258,0.14260101318359375
parsec-c1-streamcluster,deepseek_multicore,FS,instruction_cap,0.02620833056611359,0.02620833056611359,2000000000,2000000001,1818230490,1.0999705543382456,35433480,unavailable: instruction-capped interval,False,5735.933393863001,1.5963404120339288,3.239276885986328
gapbs-c1-sssp,astra_single_core,FS,roi_end,0.05264148206216551,-0.05264148206216551,584868674,584875021,2170194019,0.2695006385970507,27535628,numerical_verification,False,3284.9448389390004,3.1585087143712576,3.1332130432128906
polybench421_atax_large,deepseek_multicore,SE,roi_end,0.08004276850031118,0.08004276850031118,41931771,41931771,19250113,2.1782610315066724,476230,array dump retained; compare oracle/FixedLat at printed precision,False,116.83387483799999,0.0689458954334259,0.1425933837890625
