arm,interval,mean,median,n,oracle_relative_speedup,pattern,read_percent,standard_deviation
astra_single_core,4,4306791.360371112,4304537.809408466,5,72.59114138447019,random,50,18112.89878417024
deepseek_single_core,4,2330109.7641538153,2331254.0314463386,5,39.31395157685764,random,50,4802.674854614819
astra_multicore,4,4272830.771453335,4280068.076160538,5,72.17848712413168,random,50,20513.60502624047
deepseek_multicore,4,2244642.3683805233,2245324.0328802573,5,37.8648397438883,random,50,4975.794355108597
fixedlat,4,4100001.3006559703,4100743.207708973,5,69.15437688143226,random,50,23787.423172711984
md1,4,8680566.85497142,8689267.859025728,5,146.5346338237297,random,50,28500.72120851984
wmg1,4,5202665.74525442,5211547.310846018,5,87.88682651284847,random,50,26750.72559894407
mess,4,6283890.651000577,6315793.156788852,5,106.50867858506099,random,50,72889.84301273762
oracle,1,81200.4178838618,81258.31359281146,5,1.0,streaming,100,169.0301369489807
astra_single_core,1,5342541.169253897,5339022.692728984,5,65.70432558424768,streaming,100,18111.33839642271
deepseek_single_core,1,3312794.5270142327,3308058.6558999224,5,40.71040253772348,streaming,100,10641.044824630628
astra_multicore,1,5229143.810455865,5221175.014514319,5,64.25404101637929,streaming,100,20049.085956447638
deepseek_multicore,1,3176222.936397009,3173952.973711042,5,39.06003993161663,streaming,100,12193.66838207841
fixedlat,1,1886201.829445917,1886320.5744343835,5,23.21387795329852,streaming,100,3164.0636089382074
md1,1,6174335.668448553,6184497.80372527,5,76.10910847493126,streaming,100,26481.113296777137
wmg1,1,3380670.745047802,3375152.473778685,5,41.536088118831806,streaming,100,22975.84362114912
mess,1,3995363.6234265785,4002708.4406717974,5,49.25906364153117,streaming,100,23743.77334327146
oracle,64,263827.8578241434,263936.33858596085,5,1.0,random,75,360.28249769557516
astra_single_core,64,5322915.978079232,5315673.07974805,5,20.139981891947023,random,75,14969.203970708464
deepseek_single_core,64,4040022.2840270665,4060092.0056150164,5,15.38284583080512,random,75,40878.184792451204
astra_multicore,64,5186161.569233383,5194572.596685951,5,19.68115729920282,random,75,25174.110127619024
deepseek_multicore,64,3848201.4527071244,3848310.1757150814,5,14.580448438181746,random,75,6095.120092873681
fixedlat,64,10222602.844411615,10231815.42775763,5,38.76622477440806,random,75,32803.58408115509
md1,64,10255217.648840254,10247721.596900899,5,38.82648994754976,random,75,20571.558172436264
wmg1,64,6324529.381685141,6334019.229074003,5,23.998284067319098,random,75,31312.814017009918
mess,64,9042737.2746992,9037246.251296032,5,34.240250128925354,random,75,23813.853443864
oracle,64,575268.975210006,575594.1926483025,5,1.0,streaming,50,7204.964703253421
astra_single_core,64,5727850.524472034,5731943.197859845,5,9.958306166167587,streaming,50,26760.705126889632
deepseek_single_core,64,4337499.599659941,4334491.848223475,5,7.5304648719274345,streaming,50,7445.822392872707
astra_multicore,64,5740815.839167271,5740572.7218312705,5,9.97329854114573,streaming,50,6739.308467652312
deepseek_multicore,64,4068737.188441089,4070882.668214516,5,7.07248738817956,streaming,50,4317.583776107498
fixedlat,64,12149165.52561106,12142344.775803879,5,21.09532189672916,streaming,50,27105.00554781027
md1,64,12139484.654416978,12141189.779389093,5,21.093315280905827,streaming,50,12946.989470490547
wmg1,64,7216422.120573278,7220134.427293059,5,12.543793039455975,streaming,50,20537.32041936313
mess,64,10907078.702309804,10915431.671441106,5,18.96376268360062,streaming,50,17369.33864802045
